City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.71,66,56,10.27,broken clouds
1,Khatanga,RU,71.9667,102.5,-29.15,100,99,4.09,overcast clouds
2,Kieta,PG,-6.2167,155.6333,79.11,83,99,1.05,overcast clouds
3,Vaini,TO,-21.2,-175.2,73.56,100,75,3.44,light intensity drizzle
4,Barrow,US,71.2906,-156.7887,-7.58,71,40,16.11,haze
5,Hobart,AU,-42.8794,147.3294,57.06,93,75,6.91,light intensity drizzle
6,Hermanus,ZA,-34.4187,19.2345,61.81,87,1,8.59,clear sky
7,Lagoa,PT,39.05,-27.9833,58.95,82,0,19.17,clear sky
8,Tuatapere,NZ,-46.1333,167.6833,46.99,92,87,3.44,overcast clouds
9,Port Hardy,CA,50.6996,-127.4199,42.57,81,87,8.28,light rain
10,Ilulissat,GL,69.2167,-51.1,30.22,74,75,9.22,broken clouds
11,Hasaki,JP,35.7333,140.8333,48.29,75,98,21.16,moderate rain
12,Hilo,US,19.7297,-155.09,76.73,80,100,10.36,light rain
13,Iqaluit,CA,63.7506,-68.5145,25.7,86,60,23.0,broken clouds
14,Mykolayiv,UA,46.9659,31.9974,40.89,76,72,11.25,broken clouds
15,Cabedelo,BR,-6.9811,-34.8339,75.87,76,61,13.0,light rain
16,Ushuaia,AR,-54.8,-68.3,38.86,87,40,20.71,scattered clouds
17,Scottsboro,US,34.6723,-86.0341,66.99,20,0,8.05,clear sky
18,Qaanaaq,GL,77.484,-69.3632,14.67,75,92,6.04,overcast clouds
19,Birin,NP,26.8865,88.0718,59.34,80,59,2.24,broken clouds
20,Tautira,PF,-17.7333,-149.15,81.81,77,20,14.76,light rain
21,Husavik,IS,66.0449,-17.3389,29.77,95,100,11.99,snow
22,Edd,ER,13.9297,41.6925,87.33,46,3,17.98,clear sky
23,Cape Town,ZA,-33.9258,18.4232,64.27,81,15,1.01,few clouds
24,Canto Do Buriti,BR,-8.11,-42.9444,88.27,36,59,4.65,broken clouds
25,Tiksi,RU,71.6872,128.8694,4.77,98,100,8.01,overcast clouds
26,Burns Lake,CA,54.2331,-125.7533,40.1,46,99,11.72,overcast clouds
27,Te Anau,NZ,-45.4167,167.7167,46.22,75,69,0.94,broken clouds
28,Honningsvag,NO,70.9821,25.9704,26.35,68,75,16.11,broken clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,85.96,93,45,3.0,scattered clouds
30,Esperance,AU,-33.8667,121.9,64.24,92,100,7.54,light rain
31,Udachnyy,RU,66.4167,112.4,7.2,95,100,9.15,light snow
32,Kodiak,US,57.79,-152.4072,36.91,75,100,9.22,light snow
33,Ruwi,OM,23.5996,58.5507,87.49,37,1,8.37,clear sky
34,Avera,US,33.194,-82.5271,75.54,28,0,11.23,clear sky
35,Port Alberni,CA,49.2413,-124.8028,45.88,92,100,11.99,overcast clouds
36,Atar,MR,20.5169,-13.0499,77.85,16,0,9.86,clear sky
37,Tura,IN,25.5198,90.2201,69.84,94,11,6.31,few clouds
38,Acajutla,SV,13.5928,-89.8275,85.91,64,19,9.26,few clouds
39,Altayskoye,RU,51.9533,85.3325,36.93,86,63,5.75,broken clouds
40,Lebu,CL,-37.6167,-73.65,56.89,63,0,18.63,clear sky
41,Masvingo,ZW,-20.0637,30.8277,68.59,74,76,4.16,light rain
42,Port Hedland,AU,-20.3167,118.5667,77.05,83,0,6.91,clear sky
43,Chuy,UY,-33.6971,-53.4616,71.62,68,92,10.69,overcast clouds
44,Cidreira,BR,-30.1811,-50.2056,69.98,95,100,19.13,moderate rain
45,Chokurdakh,RU,70.6333,147.9167,-21.78,100,81,2.57,broken clouds
46,Upernavik,GL,72.7868,-56.1549,18.46,86,46,3.96,scattered clouds
47,Wajima,JP,37.4,136.9,46.22,81,7,10.98,clear sky
48,Goderich,CA,43.7501,-81.7165,38.91,80,61,14.25,broken clouds
49,Seoul,KR,37.5683,126.9778,40.44,47,0,2.51,clear sky
50,Atuona,PF,-9.8,-139.0333,79.95,72,83,21.14,broken clouds
51,Buin,CL,-33.7333,-70.75,78.06,26,0,7.38,clear sky
52,Okha,RU,53.5739,142.9478,30.27,86,93,9.51,overcast clouds
53,Nikolskoye,RU,59.7035,30.7861,29.71,96,35,2.95,scattered clouds
54,Zarubino,RU,42.63,131.0922,36.93,88,4,3.29,clear sky
55,Kakching,IN,24.4833,93.9833,65.07,92,79,1.05,broken clouds
56,Wattegama,LK,6.7989,81.4808,73.94,92,1,0.63,clear sky
57,Mataura,NZ,-46.1927,168.8643,46.13,95,98,2.01,overcast clouds
58,Castro,BR,-24.7911,-50.0119,71.73,80,69,4.59,broken clouds
59,Kysyl-Syr,RU,63.8986,122.7617,15.44,97,100,4.14,light snow
60,Albany,US,42.6001,-73.9662,41.63,86,100,1.01,moderate rain
61,Quelimane,MZ,-17.8786,36.8883,75.58,89,48,5.88,scattered clouds
62,Jamestown,US,42.097,-79.2353,34.02,74,100,11.5,light snow
63,Prado,BR,-17.3411,-39.2208,80.04,70,0,7.25,clear sky
64,Severo-Kurilsk,RU,50.6789,156.125,30.2,87,23,11.59,few clouds
65,Erzurum,TR,40.0,41.5,47.88,84,99,3.69,overcast clouds
66,Grants,US,35.1473,-107.8514,64.63,16,0,8.05,clear sky
67,Zachary,US,30.6485,-91.1565,83.73,42,0,4.61,clear sky
68,Longyearbyen,SJ,78.2186,15.6401,8.44,52,20,21.85,few clouds
69,Busselton,AU,-33.65,115.3333,62.58,81,51,16.98,broken clouds
70,Concordia,AR,-31.393,-58.0209,67.78,88,100,4.0,overcast clouds
71,East London,ZA,-33.0153,27.9116,72.39,89,100,15.41,overcast clouds
72,Nantucket,US,41.2835,-70.0995,48.31,77,100,9.22,overcast clouds
73,Bluff,NZ,-46.6,168.3333,56.23,75,98,12.28,overcast clouds
74,Katsuura,JP,35.1333,140.3,48.22,87,100,18.01,moderate rain
75,Haines Junction,CA,60.7522,-137.5108,30.51,84,100,2.17,overcast clouds
76,Bredasdorp,ZA,-34.5322,20.0403,61.47,88,56,2.28,broken clouds
77,Tambovka,RU,50.0969,128.0489,35.44,74,100,8.14,light rain
78,Saint-Philippe,RE,-21.3585,55.7679,74.79,91,100,13.73,heavy intensity rain
79,Beringovskiy,RU,63.05,179.3167,-4.9,86,49,15.26,scattered clouds
80,Cochrane,CA,51.1834,-114.4687,44.76,44,100,9.22,overcast clouds
81,Codrington,AU,-38.2667,141.9667,58.39,85,100,5.39,overcast clouds
82,Sambava,MG,-14.2667,50.1667,77.65,87,100,8.7,light rain
83,Poum,NC,-20.2333,164.0167,81.99,82,100,17.81,moderate rain
84,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,75,11.5,broken clouds
85,Hofn,IS,64.2539,-15.2082,38.17,84,100,16.91,overcast clouds
86,Vestmannaeyjar,IS,63.4427,-20.2734,42.98,81,100,18.9,overcast clouds
87,Tianpeng,CN,30.9866,103.9393,53.08,90,100,5.17,light rain
88,Tuktoyaktuk,CA,69.4541,-133.0374,-11.16,95,99,4.05,overcast clouds
89,Harindanga,IN,22.0383,88.3214,80.19,82,97,17.38,overcast clouds
90,Lorengau,PG,-2.0226,147.2712,80.06,77,100,0.92,overcast clouds
91,Mabaruma,GY,8.2,-59.7833,82.17,65,100,7.61,overcast clouds
92,Oltu,TR,40.5498,42.0013,44.94,76,100,7.38,overcast clouds
93,Harper,LR,4.375,-7.7169,80.31,82,100,9.55,overcast clouds
94,Ulagan,RU,50.6321,87.9563,26.89,92,83,2.59,broken clouds
95,Punta Arenas,CL,-53.15,-70.9167,46.51,61,40,31.07,scattered clouds
96,Menongue,AO,-14.6585,17.691,63.25,96,81,3.78,broken clouds
97,Nizhnevartovsk,RU,60.9344,76.5531,28.42,64,0,11.18,clear sky
98,Aksehir,TR,38.3575,31.4164,51.21,49,82,16.75,broken clouds
99,Umm Kaddadah,SD,13.6017,26.6876,84.74,9,100,12.19,overcast clouds
100,Mogadishu,SO,2.0371,45.3438,81.68,78,60,14.0,broken clouds
101,Say,NE,13.1007,2.3689,93.24,10,100,7.47,overcast clouds
102,Port Elizabeth,ZA,-33.918,25.5701,65.32,88,25,1.99,scattered clouds
103,Torbay,CA,47.6666,-52.7314,41.76,73,57,27.96,broken clouds
104,Bethel,US,41.3712,-73.414,43.02,89,100,3.67,overcast clouds
105,Hithadhoo,MV,-0.6,73.0833,83.03,69,53,4.81,broken clouds
106,Butaritari,KI,3.0707,172.7902,81.46,72,98,14.5,overcast clouds
107,Progreso,MX,21.2833,-89.6667,98.71,67,56,13.56,broken clouds
108,Lagos,NG,6.5833,3.75,81.81,81,99,7.25,overcast clouds
109,Jalu,LY,29.0331,21.5482,78.8,13,9,11.14,clear sky
110,San Pedro,PH,14.35,121.0167,79.27,76,98,9.13,overcast clouds
111,Sabha,LY,27.0377,14.4283,81.61,8,0,8.97,clear sky
112,Ponta Do Sol,PT,32.6667,-17.1,61.0,70,100,15.35,overcast clouds
113,Lompoc,US,34.6391,-120.4579,69.69,76,40,13.8,scattered clouds
114,Dingle,PH,10.9995,122.6711,75.43,86,100,6.98,overcast clouds
115,Kahului,US,20.8947,-156.47,78.96,83,20,30.0,few clouds
116,Cherskiy,RU,68.75,161.3,-2.67,98,100,3.6,overcast clouds
117,Maragogi,BR,-9.0122,-35.2225,79.86,80,37,9.84,scattered clouds
118,San Martin,AR,-33.081,-68.4681,67.71,22,37,12.24,scattered clouds
119,Smithers,CA,54.7804,-127.1743,42.91,35,13,6.2,few clouds
120,Khasan,RU,42.4308,130.6434,38.44,81,5,0.65,clear sky
121,Asfi,MA,32.2994,-9.2372,60.06,76,37,10.4,scattered clouds
122,San Rafael,AR,-34.6177,-68.3301,65.97,17,12,7.83,few clouds
123,Nanortalik,GL,60.1432,-45.2371,37.85,80,98,5.39,overcast clouds
124,Mathbaria,BD,22.2876,89.9593,78.64,85,11,11.45,few clouds
125,Hualmay,PE,-11.0964,-77.6139,73.51,75,17,10.54,few clouds
126,Yellowknife,CA,62.456,-114.3525,20.41,74,98,14.63,overcast clouds
127,Broken Hill,AU,-31.95,141.4333,58.21,59,0,5.79,clear sky
128,Inhambane,MZ,-23.865,35.3833,78.04,70,8,11.99,clear sky
129,Najran,SA,17.4924,44.1277,67.14,15,10,0.92,clear sky
130,Thompson,CA,55.7435,-97.8558,33.03,86,100,8.25,overcast clouds
131,Altamont,US,42.2068,-121.7372,53.78,30,40,3.44,scattered clouds
132,Souillac,MU,-20.5167,57.5167,79.18,83,75,11.5,broken clouds
133,Carbonia,IT,39.1672,8.5222,49.01,61,100,3.44,overcast clouds
134,Shemordan,RU,56.1856,50.3972,33.15,93,100,17.96,overcast clouds
135,Sao Filipe,CV,14.8961,-24.4956,71.13,76,4,9.53,clear sky
136,New Norfolk,AU,-42.7826,147.0587,56.7,89,99,1.03,overcast clouds
137,San Carlos,VE,9.6612,-68.5827,94.3,34,89,7.54,overcast clouds
138,Port Alfred,ZA,-33.5906,26.891,68.18,91,98,19.51,overcast clouds
139,Tiarei,PF,-17.5333,-149.3333,84.22,76,32,12.71,light rain
140,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,82,14,11.12,few clouds
141,Provideniya,RU,64.3833,-173.3,2.8,74,0,11.5,clear sky
142,Kapaa,US,22.0752,-159.319,78.78,77,40,19.57,scattered clouds
143,Ous,RU,60.9058,61.5186,34.16,99,100,8.75,light snow
144,Faanui,PF,-16.4833,-151.75,81.82,75,71,10.51,broken clouds
145,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,82,11,15.68,few clouds
146,Iranshahr,IR,27.2025,60.6848,81.86,14,0,5.82,clear sky
147,Mayskiy,RU,47.6931,40.1025,49.41,75,100,20.58,overcast clouds
148,Mahibadhoo,MV,3.7833,72.9667,82.6,69,15,1.95,few clouds
149,Ahipara,NZ,-35.1667,173.1667,64.74,86,3,2.24,clear sky
150,Rawson,AR,-43.3002,-65.1023,62.29,26,13,15.77,few clouds
151,Obo,CF,5.3998,26.4869,69.08,88,52,3.8,broken clouds
152,Ballina,AU,-28.8667,153.5667,64.78,99,99,3.53,light rain
153,Zheleznodorozhnyy,RU,55.7503,38.0042,32.18,93,100,5.88,overcast clouds
154,Kayes,ML,14.0,-11.0,95.56,12,100,9.19,overcast clouds
155,Coruripe,BR,-10.1256,-36.1756,79.95,78,70,10.13,broken clouds
156,Dongying,CN,37.4564,118.4856,51.57,47,0,7.52,clear sky
157,Cayenne,GF,4.9333,-52.3333,82.09,1,75,10.36,light rain
158,Bentiu,SS,9.2333,29.8333,89.65,38,93,8.21,overcast clouds
159,Isangel,VU,-19.55,169.2667,80.24,84,100,8.39,overcast clouds
160,Pietermaritzburg,ZA,-29.6168,30.3928,64.69,91,79,2.57,broken clouds
161,Ribeira Grande,PT,38.5167,-28.7,63.0,72,20,13.8,few clouds
162,Teluk Nibung,ID,3.001,99.8164,74.84,93,100,8.61,moderate rain
163,Port-Gentil,GA,-0.7193,8.7815,81.12,80,30,7.4,scattered clouds
164,Saskylakh,RU,71.9167,114.0833,-7.06,98,100,9.66,overcast clouds
165,Marzuq,YE,14.4,46.4667,69.84,36,3,6.29,clear sky
166,Moranbah,AU,-22.0016,148.0466,70.92,91,83,4.83,broken clouds
167,Kuloy,RU,61.0305,42.4925,18.46,95,10,5.39,clear sky
168,Udimskiy,RU,61.1417,45.9144,22.96,94,100,8.88,overcast clouds
169,Mar Del Plata,AR,-38.0023,-57.5575,69.87,67,97,10.0,overcast clouds
170,Tasiilaq,GL,65.6145,-37.6368,26.76,95,95,4.74,overcast clouds
171,Vilhena,BR,-12.7406,-60.1458,79.88,75,99,1.12,overcast clouds
172,Gunjur,GM,13.2019,-16.7339,67.84,84,76,18.39,broken clouds
173,Lucapa,AO,-8.4192,20.7447,67.59,94,96,3.4,overcast clouds
174,Changde,CN,29.0464,111.6783,58.39,69,100,2.15,overcast clouds
175,Strelka,RU,58.0728,93.0344,6.84,98,22,0.89,few clouds
176,Bengkulu,ID,-3.8004,102.2655,76.93,82,100,4.61,overcast clouds
177,Carolina,PR,18.3808,-65.9574,85.71,60,40,9.22,scattered clouds
178,Ha Giang,VN,22.8333,104.9833,57.02,79,0,1.41,clear sky
179,Fukue,JP,32.6881,128.8419,55.36,57,0,17.83,clear sky
180,Sambhar,IN,26.9167,75.2,76.68,9,0,6.85,clear sky
181,Novosineglazovskiy,RU,55.0401,61.3792,41.72,86,100,14.29,overcast clouds
182,Santa Fe,AR,-31.6333,-60.7,78.01,52,25,4.0,scattered clouds
183,Sipoo,FI,60.3775,25.2691,34.16,63,20,5.75,few clouds
184,Kaitangata,NZ,-46.2817,169.8464,47.16,94,92,5.17,overcast clouds
185,Doka,SD,13.5167,35.7667,94.03,15,17,11.48,few clouds
186,Grand Gaube,MU,-20.0064,57.6608,79.38,81,27,10.0,scattered clouds
187,Galdar,ES,28.147,-15.6502,64.9,77,98,13.04,overcast clouds
188,Ostrovnoy,RU,68.0531,39.5131,15.84,92,100,6.58,overcast clouds
189,Lincoln,US,40.8,-96.667,62.67,47,100,4.61,overcast clouds
190,Blagoyevo,RU,63.3667,47.9167,23.9,94,100,7.92,overcast clouds
191,Niksic,ME,42.7731,18.9445,34.66,97,90,0.07,light snow
192,San Patricio,US,28.017,-97.5169,88.16,43,0,14.03,clear sky
193,Cabo San Lucas,MX,22.8909,-109.9124,78.62,58,0,11.5,clear sky
194,Komsomolskiy,UZ,40.4272,71.7189,61.86,39,100,4.5,overcast clouds
195,Vao,NC,-22.6667,167.4833,79.11,87,88,19.28,overcast clouds
196,Mayumba,GA,-3.432,10.6554,77.88,93,47,5.17,scattered clouds
197,Iwanai,JP,42.9744,140.5089,30.94,86,1,5.41,clear sky
198,Inuvik,CA,68.3499,-133.7218,-7.71,90,100,6.73,overcast clouds
199,Slave Lake,CA,55.2834,-114.769,47.97,46,63,10.65,broken clouds
200,Aras,ES,42.5617,-2.356,36.01,52,75,4.61,broken clouds
201,Parfenyevo,RU,58.484,43.4088,24.96,91,100,8.81,overcast clouds
202,Duliby,UA,49.2313,23.8153,26.56,91,100,6.31,overcast clouds
203,Qandala,SO,11.472,49.8728,85.14,41,36,9.4,scattered clouds
204,Dikson,RU,73.5069,80.5464,-2.94,100,45,9.19,scattered clouds
205,Estevan,CA,49.1334,-102.9842,42.22,81,100,5.08,overcast clouds
206,Hami,CN,42.8,93.45,53.71,25,0,8.46,clear sky
207,Elat,IL,29.5581,34.9482,76.84,11,0,17.27,clear sky
208,Biltine,TD,14.5333,20.9167,88.12,10,63,9.66,broken clouds
209,Nueva Concepcion,GT,14.2,-91.3,92.88,44,42,17.05,scattered clouds
210,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,78,20,9.22,few clouds
211,Ankara,TR,39.9199,32.8543,51.19,37,0,4.61,clear sky
212,Genhe,CN,50.7833,121.5167,26.4,76,71,9.91,broken clouds
213,Avarua,CK,-21.2078,-159.775,78.85,89,100,3.44,overcast clouds
214,Birao,CF,10.2849,22.7882,88.83,26,83,4.88,broken clouds
215,Cockburn Town,TC,21.4612,-71.1419,80.56,74,40,17.27,scattered clouds
216,Saint-Joseph,RE,-21.3667,55.6167,73.78,88,100,13.2,moderate rain
217,Henties Bay,NA,-22.116,14.2845,61.66,83,0,4.92,clear sky
218,Cam Ranh,VN,11.9214,109.1591,76.96,69,75,9.22,broken clouds
219,Izhma,RU,65.0083,53.9113,22.19,94,100,10.78,light snow
220,Dzerzhinskoye,RU,56.8344,95.2283,15.98,97,49,2.73,scattered clouds
221,Jiaonan,CN,35.8786,119.9753,44.96,84,0,7.18,clear sky
222,Stornoway,GB,58.2093,-6.3865,49.96,94,75,18.41,light intensity drizzle
223,Jalpan,MX,21.2333,-99.4833,95.2,22,7,9.22,clear sky
224,Saldanha,ZA,-33.0117,17.9442,61.93,80,0,3.85,clear sky
225,Yar-Sale,RU,66.8333,70.8333,6.42,92,100,9.91,overcast clouds
226,West Bay,KY,19.3667,-81.4167,84.27,79,20,8.05,few clouds
